"full_name","name","e","a","ma","i","w","diameter","om","per_y","neo","pha","spkid","pdes"
"     P/2003 T12 (SOHO)",SOHO,0.7762,2.568,28.63,11.48,217.67,,176.47,4.12,Y,,1002004,"2003 T12"
"     P/2005 T4 (SWAN)",SWAN,0.9304,9.324,0.47,160.04,41.44,,25.42,28.5,Y,,1001673,"2005 T4"
"     P/2006 HR30 (Siding Spring)","Siding Spring",0.8431,7.818,357.46,31.88,117.41,,309.95,21.9,Y,,1002409,"2006 HR30"
"     P/2007 T2 (Kowalski)",Kowalski,0.7750,3.093,8.88,9.90,358.55,,4.00,5.44,Y,,1002480,"2007 T2"
"     P/2008 Y12 (SOHO)",SOHO,0.9788,3.078,122.37,23.35,146.62,,312.57,5.4,Y,,1003317,"2008 Y12"
"     P/2009 WX51 (Catalina)",Catalina,0.7403,3.08,350.32,9.59,118.02,,31.76,5.41,Y,,1003080,"2009 WX51"
"     C/2010 L5 (WISE)",WISE,0.9042,8.26,2.90,147.05,214.76,,206.47,23.7,Y,,1003099,"2010 L5"
"     C/2011 S2 (Kowalski)",Kowalski,0.9316,16.31,359.95,17.57,192.19,,288.07,65.8,Y,,1003152,"2011 S2"
"     P/2012 NJ (La Sagra)","La Sagra",0.8481,8.503,2.66,84.38,338.41,,315.76,24.8,Y,,1003198,"2012 NJ"
"     P/2015 A3 (PANSTARRS)",PANSTARRS,0.8459,7.482,359.57,172.51,249.62,,277.08,20.5,Y,,1003369,"2015 A3"
"     C/2015 D1 (SOHO)",SOHO,0.9943,4.989,0.02,69.62,234.96,,95.88,11.1,Y,,1003377,"2015 D1"
"     C/2015 F5 (SWAN-Xingming)",SWAN-Xingming,0.9777,15.55,0.40,149.26,13.39,,287.74,61.3,Y,,1003382,"2015 F5"
"     C/2015 X8 (NEOWISE)",NEOWISE,0.9391,19.55,1.04,155.28,20.40,,191.11,86.4,Y,,1003429,"2015 X8"
"     P/2017 Y3 (Leonard)",Leonard,0.8707,9.865,0.28,27.59,67.53,,153.87,31,Y,,1003554,"2017 Y3"
"     P/2019 M2 (ATLAS)",ATLAS,0.6485,3.025,23.10,12.28,332.52,,307.60,5.26,Y,,1003635,"2019 M2"
"     P/2019 Y3 (Catalina)",Catalina,0.6958,2.998,2.95,24.64,2.27,,139.38,5.19,Y,,1003654,"2019 Y3"
"     P/2020 G1 (Pimentel)",Pimentel,0.8596,3.603,6.86,18.47,207.64,,240.11,6.84,Y,,1003672,"2020 G1"
"     C/2020 M3 (ATLAS)",ATLAS,0.9527,26.82,0.22,23.47,328.45,,71.25,139,Y,,1003699,"2020 M3"
"     P/2021 HS (PANSTARRS)",PANSTARRS,0.8102,4.196,356.06,12.17,46.09,,262.40,8.59,Y,,1003811,"2021 HS"
"     P/2021 N1 (ZTF)",ZTF,0.6768,2.977,5.84,11.51,21.19,,301.16,5.14,Y,,1003792,"2021 N1"
"     P/2021 PE20 (ATLAS)",ATLAS,0.6708,3.746,12.35,20.02,210.45,,99.63,7.25,Y,,1003909,"2021 PE20"
"     P/2021 Q5 (ATLAS)",ATLAS,0.6242,3.285,2.91,10.73,180.89,,239.78,5.96,Y,,1003804,"2021 Q5"
"     C/2023 E1 (ATLAS)",ATLAS,0.9469,19.33,0.01,38.31,105.89,,164.57,85,Y,,1003914,"2023 E1"
"     C/2023 S3 (Lemmon)",Lemmon,0.9708,28.47,359.81,140.50,281.57,,233.83,152,Y,,1003954,"2023 S3"
"     P/2024 L4 (Rankin)",Rankin,0.6984,2.229,21.84,10.05,53.71,,139.78,3.33,Y,,1004010,"2024 L4"
